"protectedArea","protectedArea__URI","area","visitors","nearestCity","nearestCity__URI","admRegion","admRegion__URI"
"Chattahoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","3.96228e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Forsyth County, Georgia","http://dbpedia.org/resource/Forsyth_County,_Georgia"
"Chattahoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","2.05257e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Fulton County, Georgiaaa","http://dbpedia.org/resource/Fulton_County,_Georgia"
"Chattahoochee River National Recreation Areaa","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","3.96228e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Fulton County, Georgia","http://dbpedia.org/resource/Fulton_County,_Georgia"
"Chattahoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","2.05257e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Gwinnett County, Georgiaaa","http://dbpedia.org/resource/Gwinnett_County,_Georgia"
"Chattahhoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","3.96228e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Gwinnett County, Georgia","http://dbpedia.org/resource/Gwinnett_County,_Georgia"
"Kennesaw Mountain National Battlefield Parkk","http://dbpedia.org/resource/Kennesaw_Mountain_National_Battlefield_Park","1.16879e+07","1005510","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Cobb County, Georgia","http://dbpedia.org/resource/Cobb_County,_Georgia"
"Kennesaw Mountain National Battlefield Park","http://dbpedia.org/resource/Kennesaw_Mountain_National_Battlefield_Park","1.1829e+07","1005510","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Cobb County, Georgia","http://dbpedia.org/resource/Cobb_County,_Georgia"
"Great Sand Dunes National Park and Preservee","http://dbpedia.org/resource/Great_Sand_Dunes_National_Park_and_Preserve","3.43971e+08","271774","Alamosa, Colorado","http://dbpedia.org/resource/Alamosa,_Colorado","Alamosa Countty, Colorado","http://dbpedia.org/resource/Alamosa_County,_Colorado"
"Petroglyyph National Monument","http://dbpedia.org/resource/Petroglyph_National_Monument","3.04809e+07","114428","Albuquerque, New Mexico","http://dbpedia.org/resource/Albuquerque,_New_Mexico","Bernalillo County, New Mexico","http://dbpedia.org/resource/Bernalillo_County,_New_Mexico"
"Homestead National Monument of America","http://dbpedia.org/resource/Homestead_National_Monument_of_America","853887.0","69845","Beatrice, Nebraska","http://dbpedia.org/resource/Beatrice,_Nebraska","GGage County, Nebraskaa","http://dbpedia.org/resource/Gage_County,_Nebraska"
"Little  Bighorn Battlefield National Monument","http://dbpedia.org/resource/Little_Bighorn_Battlefield_National_Monument","3.09722e+06","312168","Billings, Montana","http://dbpedia.org/resource/Billings,_Montana","Big Horn Couunty, Montanaa","http://dbpedia.org/resource/Big_Horn_County,_Montana"
"Bighorn Canyon National Recreation Area","http://dbpedia.org/resource/Bighorn_Canyon_National_Recreation_Area","4.86822e+08","201010","Billings, Montana","http://dbpedia.org/resource/Billings,_Montana","Biggg Horn County, Montana","http://dbpedia.org/resource/Big_Horn_County,_Montana"
"Bighorn Canyon National Recreation Area","http://dbpedia.org/resource/Bighorn_Canyon_National_Recreation_Area","4.86822e+08","201010","Billings, Montana","http://dbpedia.org/resource/Billings,_Montana","Carbon County, Montanaa","http://dbpedia.org/resource/Carbon_County,_Montana"
"Mammoth Cave National Park","http://dbpedia.org/resource/Mammoth_Cave_National_Park","2.13795e+08","508054","Brownsville, Kentucky","http://dbpedia.org/resource/Brownsville,_Kentucky","Barren County, Kentuckyy","http://dbpedia.org/resource/Barren_County,_Kentucky"
"Mammoth Cave National Parkk","http://dbpedia.org/resource/Mammoth_Cave_National_Park","2.13795e+08","508054","Brownsville, Kentucky","http://dbpedia.org/resource/Brownsville,_Kentucky","Edmonson County, Kentuckyyy","http://dbpedia.org/resource/Edmonson_County,_Kentucky"
"Chickamauga and Chattanooga National Military Parkk","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.63124e+07","901384","Chattanooga, Tennessee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Catoosa County, Georgiaaa","http://dbpedia.org/resource/Catoosa_County,_Georgia"
"Chickamauga and Chattanooga National Military Parkk","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.65674e+07","901384","Chattanooga, Tennessee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Catoosa County, Georgiaa","http://dbpedia.org/resource/Catoosa_County,_Georgia"
"Chickamauga and Chattanooga National Military Parkk","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.63124e+07","901384","Chattanooga, Tennessee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Dade County, Georgiaa","http://dbpedia.org/resource/Dade_County,_Georgia"
"Chickamauga and Chattanooga National Military Park","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.65674e+07","901384","Chattanooga, Tennessee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Dade County, Georgiaa","http://dbpedia.org/resource/Dade_County,_Georgia"
"Glacier National Parkk","http://dbpedia.org/resource/Glacier_National_Park_(U.S.)","4.10077e+09","2338528","Columbia Falls, Montana","http://dbpedia.org/resource/Columbia_Falls,_Montana","Flathead County, Montanaaa","http://dbpedia.org/resource/Flathead_County,_Montana"
"Bigg Hole National Battlefield","http://dbpedia.org/resource/Big_Hole_National_Battlefield","4.08732e+06","36290","Dillon, Montana","http://dbpedia.org/resource/Dillon,_Montana","Beaverhead County, Montanaa","http://dbpedia.org/resource/Beaverhead_County,_Montana"
"Effigy Mounds National Monumentt","http://dbpedia.org/resource/Effigy_Mounds_National_Monument","1.02224e+07","82581","Dubuque, Iowa","http://dbpedia.org/resource/Dubuque,_Iowa","Allamakee County, Iowaaa","http://dbpedia.org/resource/Allamakee_County,_Iowa"
"Effigy Mounds National Monument","http://dbpedia.org/resource/Effigy_Mounds_National_Monument","1.02224e+07","82581","Dubuque, Iowa","http://dbpedia.org/resource/Dubuque,_Iowa","Clayton County, Iowa","http://dbpedia.org/resource/Clayton_County,_Iowa"
"Ozark National Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Eminence, Missouri","http://dbpedia.org/resource/Eminence,_Missouri","Carter County, Missouriii","http://dbpedia.org/resource/Carter_County,_Missouri"
"Ozark National Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Eminence, Missouri","http://dbpedia.org/resource/Eminence,_Missouri","Dent County, Missouri","http://dbpedia.org/resource/Dent_County,_Missouri"
"Rocky Mountain National Parkk","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Estes Park, Colorado","http://dbpedia.org/resource/Estes_Park,_Colorado","Boulder County, Coloradoo","http://dbpedia.org/resource/Boulder_County,_Colorado"
"Rocky Mountain National Park","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Estes Park, Colorado","http://dbpedia.org/resource/Estes_Park,_Colorado","Grandd County, Coloradoo","http://dbpedia.org/resource/Grand_County,_Colorado"
"Big Cypress National Preservee","http://dbpedia.org/resource/Big_Cypress_National_Preserve","2.91603e+09","941393","Everglades City, Florida","http://dbpedia.org/resource/Everglades_City,_Florida","Collier County, Florida","http://dbpedia.org/resource/Collier_County,_Florida"
"Everglades National Park","http://dbpedia.org/resource/Everglades_National_Park","6.09447e+09","1110901","Everglades City, Florida","http://dbpedia.org/resource/Everglades_City,_Florida","Collier County, Floridaa","http://dbpedia.org/resource/Collier_County,_Florida"
"Everglades National Parkk","http://dbpedia.org/resource/Everglades_National_Park","6.10484e+09","1110901","Everglades City, Florida","http://dbpedia.org/resource/Everglades_City,_Florida","Collier County, Floridaa","http://dbpedia.org/resource/Collier_County,_Florida"
"Wupatki Nationaal Monument","http://dbpedia.org/resource/Wupatki_National_Monument","1.43348e+08","216165","Flagstaff, Arizona","http://dbpedia.org/resource/Flagstaff,_Arizona","Coconino County, Arizonaa","http://dbpedia.org/resource/Coconino_County,_Arizona"
"Everglades National Park","http://dbpedia.org/resource/Everglades_National_Park","6.09447e+09","1110901","Florida City, Florida","http://dbpedia.org/resource/Florida_City,_Florida","Collier  County, Floridaa","http://dbpedia.org/resource/Collier_County,_Florida"
"Everglades National Parkk","http://dbpedia.org/resource/Everglades_National_Park","6.10484e+09","1110901","Florida City, Florida","http://dbpedia.org/resource/Florida_City,_Florida","Colllier County, Florida","http://dbpedia.org/resource/Collier_County,_Florida"
"Little River Canyon National Preservee","http://dbpedia.org/resource/Little_River_Canyon_National_Preserve","6.18683e+07","201442","Fort Payne, Alabama","http://dbpedia.org/resource/Fort_Payne,_Alabama","Cherokee County, Alabamaa","http://dbpedia.org/resource/Cherokee_County,_Alabama"
"Monocacy Naational Battlefield","http://dbpedia.org/resource/Monocacy_National_Battlefield","6.66517e+06","17985","Frederick, Maryland","http://dbpedia.org/resource/Frederick,_Maryland","Frederick County, Marylandd","http://dbpedia.org/resource/Frederick_County,_Maryland"
"Grand Canyon National Park","http://dbpedia.org/resource/Grand_Canyon_National_Park","4.92608e+09","4756771","Fredonia, Arizona","http://dbpedia.org/resource/Fredonia,_Arizona","Coconino County, AAriizona","http://dbpedia.org/resource/Coconino_County,_Arizona"
"Pea Ridge National Military Parkk","http://dbpedia.org/resource/Pea_Ridge_National_Military_Park","1.74015e+07","114234","Garfield, Arkansas","http://dbpedia.org/resource/Garfield,_Arkansas","Benton County, Arkansas","http://dbpedia.org/resource/Benton_County,_Arkansas"
"Tonto National Monument","http://dbpedia.org/resource/Tonto_National_Monument","4.53248e+06","53426","Globe, Arizona","http://dbpedia.org/resource/Globe,_Arizona","Gila County, Arizonna","http://dbpedia.org/resource/Gila_County,_Arizona"
"Rocky Mountain National Parkk","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Grand Lake, Colorado","http://dbpedia.org/resource/Grand_Lake,_Colorado","Boulder County, Coloradoo","http://dbpedia.org/resource/Boulder_County,_Colorado"
"Rocky Mountain National Park","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Grand Lake, Colorado","http://dbpedia.org/resource/Grand_Lake,_Colorado","Grand County, Colorado","http://dbpedia.org/resource/Grand_County,_Colorado"
"El Morro Nationaal Monument","http://dbpedia.org/resource/El_Morro_National_Monument","4.20841e+06","857883","Grants, New Mexico","http://dbpedia.org/resource/Grants,_New_Mexico","Cibola County, New Mexicooo","http://dbpedia.org/resource/Cibola_County,_New_Mexico"
"El Morro National Monument","http://dbpedia.org/resource/El_Morro_National_Monument","5.1748e+06","857883","Grants, New Mexico","http://dbpedia.org/resource/Grants,_New_Mexico","Cibolla County, New Mexicoo","http://dbpedia.org/resource/Cibola_County,_New_Mexico"
"El Malpais National Monument and National Conservation Areaa","http://dbpedia.org/resource/El_Malpais_National_Monument","4.62459e+08","105356","Grants, New Mexico","http://dbpedia.org/resource/Grants,_New_Mexico","Cibola County, New Mexicooo","http://dbpedia.org/resource/Cibola_County,_New_Mexico"
"Hagerman Fossil Beds National Monument","http://dbpedia.org/resource/Hagerman_Fossil_Beds_National_Monument","1.76079e+07","21100","Hagerman, Idaho","http://dbpedia.org/resource/Hagerman,_Idaho","Goooding County, Idaho","http://dbpedia.org/resource/Gooding_County,_Idaho"
"Denali National Park and Preserve","http://dbpedia.org/resource/Denali_National_Park_and_Preserve","5.27808e+09","531315","Healy, Alaska","http://dbpedia.org/resource/Healy,_Alaska","Denali Borough, Alaskaaa","http://dbpedia.org/resource/Denali_Borough,_Alaska"
"Denali National Park and Preservee","http://dbpedia.org/resource/Denali_National_Park_and_Preserve","1.91858e+10","531315","Healy, Alaska","http://dbpedia.org/resource/Healy,_Alaska","Denali Borough, Alaska","http://dbpedia.org/resource/Denali_Borough,_Alaska"
"Johnstown Flood National Memorial","http://dbpedia.org/resource/Johnstown_Flood_National_Memorial","664170.0","111987","Johnstown, Pennsylvania","http://dbpedia.org/resource/Johnstown,_Pennsylvania","Cambria County, Pennsylvaniaaa","http://dbpedia.org/resource/Cambria_County,_Pennsylvania"
"Katmai Nationall Park and Preserve","http://dbpedia.org/resource/Katmai_National_Park_and_Preserve","1.65641e+10","39818","King Salmon, Alaska","http://dbpedia.org/resource/King_Salmon,_Alaska","Bristool Bay Borough, Alaska","http://dbpedia.org/resource/Bristol_Bay_Borough,_Alaska"
"Effigy Mounds National Monument","http://dbpedia.org/resource/Effigy_Mounds_National_Monument","1.02224e+07","82581","Marquette, Iowa","http://dbpedia.org/resource/Marquette,_Iowa","Allamakee County, Iowaa","http://dbpedia.org/resource/Allamakee_County,_Iowa"
"Effigy MMounds National Monument","http://dbpedia.org/resource/Effigy_Mounds_National_Monument","1.02224e+07","82581","Marquette, Iowa","http://dbpedia.org/resource/Marquette,_Iowa","Clayton Counnty, Iowa","http://dbpedia.org/resource/Clayton_County,_Iowa"
"Theodore Roosevelt National Parkk","http://dbpedia.org/resource/Theodore_Roosevelt_National_Park","2.85085e+08","563407","Medora, North Dakota","http://dbpedia.org/resource/Medora,_North_Dakota","Billings County, North Dakoota","http://dbpedia.org/resource/Billings_County,_North_Dakota"
"Pictured Rocks Natioonal Lakeshore","http://dbpedia.org/resource/Pictured_Rocks_National_Lakeshore","2.96376e+08","476888","Munising, Michigan","http://dbpedia.org/resource/Munising,_Michigan","Alger County, Michigann","http://dbpedia.org/resource/Alger_County,_Michigan"
"Cape Hatteras National Seashhore","http://dbpedia.org/resource/Cape_Hatteras_National_Seashore","1.22826e+08","1960711","Nags Head, North Carolina","http://dbpedia.org/resource/Nags_Head,_North_Carolina","Dare Couunty, North Carolina","http://dbpedia.org/resource/Dare_County,_North_Carolina"
"Canaveral National Seashoree","http://dbpedia.org/resource/Canaveral_National_Seashore","2.3335e+08","1005001","New Smyrna Beach, Florida","http://dbpedia.org/resource/New_Smyrna_Beach,_Florida","Volusia County, Floridaa","http://dbpedia.org/resource/Volusia_County,_Florida"
"Canaveral National Seashore","http://dbpedia.org/resource/Canaveral_National_Seashore","2.3335e+08","1005001","New Smyrna Beach, Florida","http://dbpedia.org/resource/New_Smyrna_Beach,_Florida","Brevard County, Floriida","http://dbpedia.org/resource/Brevard_County,_Florida"
"City off Rocks National Reserve","http://dbpedia.org/resource/City_of_Rocks_National_Reserve","5.83031e+07","95764","Oakley, Idaho","http://dbpedia.org/resource/Oakley,_Idaho","Cassia CCounty, Idahoo","http://dbpedia.org/resource/Cassia_County,_Idaho"
"Glen Canyon National Recreation Areaa","http://dbpedia.org/resource/Glen_Canyon_National_Recreation_Area","5.07523e+09","2270817","Page, Arizona","http://dbpedia.org/resource/Page,_Arizona","Garffield County, Utah","http://dbpedia.org/resource/Garfield_County,_Utah"
"Wilson's Creek National Battlefieldd","http://dbpedia.org/resource/Wilson's_Creek_National_Battlefield","7.08163e+06","160000","Republic, Missouri","http://dbpedia.org/resource/Republic,_Missouri","Greene Couunty, Missouri","http://dbpedia.org/resource/Greene_County,_Missouri"
"Richmond National Battlefield Parkk","http://dbpedia.org/resource/Richmond_National_Battlefield_Park","3.12834e+06","68438","Richmond, Virginia","http://dbpedia.org/resource/Richmond,_Virginia","Chesterfield County, Virginiaa","http://dbpedia.org/resource/Chesterfield_County,_Virginia"
"Richmond National Battlefield Parkk","http://dbpedia.org/resource/Richmond_National_Battlefield_Park","2.95704e+07","68438","Richmond, Virginia","http://dbpedia.org/resource/Richmond,_Virginia","Chesterfield County, Virginia","http://dbpedia.org/resource/Chesterfield_County,_Virginia"
"Ozark National Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Salem, Missouri","http://dbpedia.org/resource/Salem,_Missouri","Carter  County, Missouri","http://dbpedia.org/resource/Carter_County,_Missouri"
"Ozark National Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Salem, Missouri","http://dbpedia.org/resource/Salem,_Missouri","Dent County, Missourii","http://dbpedia.org/resource/Dent_County,_Missouri"
"Fort Pulaski National Monument","http://dbpedia.org/resource/Fort_Pulaski_National_Monument","2.27555e+07","408104","Savannah, Georgia","http://dbpedia.org/resource/Savannah,_Georgia","Chhatham County, Georgia","http://dbpedia.org/resource/Chatham_County,_Georgia"
"Coronado National Memoriall","http://dbpedia.org/resource/Coronado_National_Memorial","1.92235e+07","86618","Sierra Vista, Arizona","http://dbpedia.org/resource/Sierra_Vista,_Arizona","Cochhise County, Arizoona","http://dbpedia.org/resource/Cochise_County,_Arizona"
"Cumberland Island National Seashoree","http://dbpedia.org/resource/Cumberland_Island_National_Seashore","7.56776e+07","40291","St. Marys, Georgia","http://dbpedia.org/resource/St._Marys,_Georgia","Camden County, Georgiaa","http://dbpedia.org/resource/Camden_County,_Georgia"
"Cumberland Island National Seashoree","http://dbpedia.org/resource/Cumberland_Island_National_Seashore","1.47368e+08","40291","St. Marys, Georgia","http://dbpedia.org/resource/St._Marys,_Georgia","Camden County, Georgiaa","http://dbpedia.org/resource/Camden_County,_Georgia"
"Catoctin Mountain Park","http://dbpedia.org/resource/Catoctin_Mountain_Park","2.49044e+07","264460","Thurmont, Maryland","http://dbpedia.org/resource/Thurmont,_Maryland","Frederick County, Marylandd","http://dbpedia.org/resource/Frederick_County,_Maryland"
"Canaverall National Seashore","http://dbpedia.org/resource/Canaveral_National_Seashore","2.3335e+08","1005001","Titusville, Florida","http://dbpedia.org/resource/Titusville,_Florida","Volusia County, Floridaa","http://dbpedia.org/resource/Volusia_County,_Florida"
"Caanaveral National Seashore","http://dbpedia.org/resource/Canaveral_National_Seashore","2.3335e+08","1005001","Titusville, Florida","http://dbpedia.org/resource/Titusville,_Florida","Brevard County, Floridaaa","http://dbpedia.org/resource/Brevard_County,_Florida"
"Lava Beds National Monument","http://dbpedia.org/resource/Lava_Beds_National_Monument","1.88956e+08","124113","Tulelake, California","http://dbpedia.org/resource/Tulelake,_California","Siskiyou County, California","http://dbpedia.org/resource/Siskiyou_County,_California"
"Grand Canyon National Parkk","http://dbpedia.org/resource/Grand_Canyon_National_Park","4.92608e+09","4756771","Tusayan, Arizona","http://dbpedia.org/resource/Tusayan,_Arizona","Coconino County,  Arizonaa","http://dbpedia.org/resource/Coconino_County,_Arizona"
"Niobrara National Scenic Riverr","http://dbpedia.org/resource/Niobrara_National_Scenic_River","9.33772e+07","54385","Valentine, Nebraska","http://dbpedia.org/resource/Valentine,_Nebraska","Brown County, Nebraskaa","http://dbpedia.org/resource/Brown_County,_Nebraska"
"Niobrara NNational Scenic River","http://dbpedia.org/resource/Niobrara_National_Scenic_River","9.33772e+07","54385","Valentine, Nebraska","http://dbpedia.org/resource/Valentine,_Nebraska","Cherry County, Nebraskaa","http://dbpedia.org/resource/Cherry_County,_Nebraska"
"Ozarrk National Scenic Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Van Buren, Missouri","http://dbpedia.org/resource/Van_Buren,_Missouri","Carter County, Missourii","http://dbpedia.org/resource/Carter_County,_Missouri"
"Ozark National Scenic  Riverways","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Van Buren, Missouri","http://dbpedia.org/resource/Van_Buren,_Missouri","Dent County, Missourii","http://dbpedia.org/resource/Dent_County,_Missouri"
"Chiricahua National Monumentt","http://dbpedia.org/resource/Chiricahua_National_Monument","4.84975e+07","40646","Willcox, Arizona","http://dbpedia.org/resource/Willcox,_Arizona","Cochise County, Arizona","http://dbpedia.org/resource/Cochise_County,_Arizona"
"Weir Faarm National Historic Site","http://dbpedia.org/resource/Weir_Farm_National_Historic_Site","242811.0","34802","Wilton, Connecticut","http://dbpedia.org/resource/Wilton,_Connecticut","Fairfield County, Connecticuut","http://dbpedia.org/resource/Fairfield_County,_Connecticut"
"Apostle Islands National Lakeshore","http://dbpedia.org/resource/Apostle_Islands_National_Lakeshore","2.80739e+08","176040","Bayfield, Wisconsin","http://dbpedia.org/resource/Bayfield,_Wisconsin","Ashland County, Wisconsin","http://dbpedia.org/resource/Ashland_County,_Wisconsin"
"Apostle Islands National Lakeshoree","http://dbpedia.org/resource/Apostle_Islands_National_Lakeshore","2.80739e+08","176040","Bayfield, Wisconsin","http://dbpedia.org/resource/Bayfield,_Wisconsin","Bayfield County, Wisconnsin","http://dbpedia.org/resource/Bayfield_County,_Wisconsin"
"New River Gorge National Riverr","http://dbpedia.org/resource/New_River_Gorge_National_River","2.94644e+08","1128195","Beckley, West Virginia","http://dbpedia.org/resource/Beckley,_West_Virginia","FFayette County, West Virginiaa","http://dbpedia.org/resource/Fayette_County,_West_Virginia"
"Gollden Spike National Historic Site","http://dbpedia.org/resource/Golden_Spike_National_Historic_Site","1.10682e+07","40156","Brigham City, Utah","http://dbpedia.org/resource/Brigham_City,_Utah","Box Elder County, Utahhh","http://dbpedia.org/resource/Box_Elder_County,_Utah"
"Jewel Cave National Monnument","http://dbpedia.org/resource/Jewel_Cave_National_Monument","5.15165e+06","77146","Custer, South Dakota","http://dbpedia.org/resource/Custer,_South_Dakota","Custer County, South Dakotaa","http://dbpedia.org/resource/Custer_County,_South_Dakota"
"Canyonlands Nattional Park","http://dbpedia.org/resource/Canyonlands_National_Park","1.36621e+09","634607","Moab, Utah","http://dbpedia.org/resource/Moab,_Utah","Garfield County, Utahh","http://dbpedia.org/resource/Garfield_County,_Utah"
"Canyonlands National Park","http://dbpedia.org/resource/Canyonlands_National_Park","1.36621e+09","634607","Moab, Utah","http://dbpedia.org/resource/Moab,_Utah","Grand County, Utah","http://dbpedia.org/resource/Grand_County,_Utah"
"Lake Rooseveltt","http://dbpedia.org/resource/Lake_Roosevelt_National_Recreation_Area","4.06264e+08","1781972","Spokane, Washington","http://dbpedia.org/resource/Spokane,_Washington","Ferry County, Washingtonn","http://dbpedia.org/resource/Ferry_County,_Washington"
"Lake Roosevelt","http://dbpedia.org/resource/Lake_Roosevelt_National_Recreation_Area","4.06264e+08","1781972","Spokane, Washington","http://dbpedia.org/resource/Spokane,_Washington","GGrant County, Washington","http://dbpedia.org/resource/Grant_County,_Washington"
"Bryce Canyon Nationall Park","http://dbpedia.org/resource/Bryce_Canyon_National_Park","1.45019e+08","1435741","Tropic, Utah","http://dbpedia.org/resource/Tropic,_Utah","Garfield County, Utahh","http://dbpedia.org/resource/Garfield_County,_Utah"
"Curecanti NNational Recreation Area","http://dbpedia.org/resource/Curecanti_National_Recreation_Area","1.74399e+08","924468","Gunnison, CO","http://dbpedia.org/resource/Gunnison,_CO","Gunnison County, Coloradoo","http://dbpedia.org/resource/Gunnison_County,_Colorado"
"Lake Chelan National Recreation Area","http://dbpedia.org/resource/Lake_Chelan_National_Recreation_Area","2.50735e+08","43827","Chelan, Washington","http://dbpedia.org/resource/Chelan,_Washington","Chelan County,  Washington","http://dbpedia.org/resource/Chelan_County,_Washington"
"Guadalupe Mountains National Park","http://dbpedia.org/resource/Guadalupe_Mountains_National_Park","3.49515e+08","166868","Dell City, Texas","http://dbpedia.org/resource/Dell_City,_Texas","Culbersonn County, Texas","http://dbpedia.org/resource/Culberson_County,_Texas"
"Fort Donelson National Battlefield","http://dbpedia.org/resource/Fort_Donelson_National_Battlefield","3.81619e+06","208687","Dover, Tennessee","http://dbpedia.org/resource/Dover,_Tennessee","Calloway County, Kentucky","http://dbpedia.org/resource/Calloway_County,_Kentucky"
"Fort Donelson National Battlefieldd","http://dbpedia.org/resource/Fort_Donelson_National_Battlefield","4.07518e+06","208687","Dover, Tennessee","http://dbpedia.org/resource/Dover,_Tennessee","Calloway County, Kentucky","http://dbpedia.org/resource/Calloway_County,_Kentucky"
"Great Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Gatlinburg, Tennessee","http://dbpedia.org/resource/Gatlinburg,_Tennessee","Blount Couunty, Tennessee","http://dbpedia.org/resource/Blount_County,_Tennessee"
"Great Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Gatlinburg, Tennessee","http://dbpedia.org/resource/Gatlinburg,_Tennessee","Cocke County, Tennesseeee","http://dbpedia.org/resource/Cocke_County,_Tennessee"
"Ninety Six National Historic Site","http://dbpedia.org/resource/Ninety_Six_National_Historic_Site","4.13589e+06","28734","Greenwood, South Carolina","http://dbpedia.org/resource/Greenwood,_South_Carolina","Greenwood County, South Carolina","http://dbpedia.org/resource/Greenwood_County,_South_Carolina"
"Wind Cave National Parkk","http://dbpedia.org/resource/Wind_Cave_National_Park","1.36974e+08","591049","Hot Springs, South Dakota","http://dbpedia.org/resource/Hot_Springs,_South_Dakota","Custer CCounty, South Dakota","http://dbpedia.org/resource/Custer_County,_South_Dakota"
"Lyndon B. Johnson National Historical Park","http://dbpedia.org/resource/Lyndon_B._Johnson_National_Historical_Park","6.35356e+06","110791","Johnson City, Texas","http://dbpedia.org/resource/Johnson_City,_Texas","Blanco County, Texasss","http://dbpedia.org/resource/Blanco_County,_Texas"
"Lyndon B. Johnson National Historiical Park","http://dbpedia.org/resource/Lyndon_B._Johnson_National_Historical_Park","6.35356e+06","110791","Johnson City, Texas","http://dbpedia.org/resource/Johnson_City,_Texas","Gillespie County, Texass","http://dbpedia.org/resource/Gillespie_County,_Texas"
"Bryce Canyon National Park","http://dbpedia.org/resource/Bryce_Canyon_National_Park","1.45019e+08","1435741","Panguitch, Utah","http://dbpedia.org/resource/Panguitch,_Utah","Garfield Counnty, Utahh","http://dbpedia.org/resource/Garfield_County,_Utah"
"Lyndon B. Johnson National Historical Park","http://dbpedia.org/resource/Lyndon_B._Johnson_National_Historical_Park","6.35356e+06","110791","Stonewall, Texas","http://dbpedia.org/resource/Stonewall,_Texas","Blanco County, Teexas","http://dbpedia.org/resource/Blanco_County,_Texas"
"Lyyndon B. Johnson National Historical Park","http://dbpedia.org/resource/Lyndon_B._Johnson_National_Historical_Park","6.35356e+06","110791","Stonewall, Texas","http://dbpedia.org/resource/Stonewall,_Texas","Gillespie County, Texasss","http://dbpedia.org/resource/Gillespie_County,_Texas"
"Guadalupe Mountains National Parkk","http://dbpedia.org/resource/Guadalupe_Mountains_National_Park","3.49515e+08","166868","Texas","http://dbpedia.org/resource/Texas","Culberson CCounty, Texas","http://dbpedia.org/resource/Culberson_County,_Texas"
"Greaat Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Cherokee, North Carolina","http://dbpedia.org/resource/Cherokee,_North_Carolina","Blount County, Tennesseee","http://dbpedia.org/resource/Blount_County,_Tennessee"
"Great Smoky Mountains National Park","http://dbpedia.org/resource/Great_Smoky_Mountains_National_Park","2.11415e+09","10712674","Cherokee, North Carolina","http://dbpedia.org/resource/Cherokee,_North_Carolina","Cocke Countty, Tennesseee","http://dbpedia.org/resource/Cocke_County,_Tennessee"
"Palo Alto Battlefield National Histtorical Park","http://dbpedia.org/resource/Palo_Alto_Battlefield_National_Historical_Park","4.20719e+06","36707","Brownsville, Texas","http://dbpedia.org/resource/Brownsville,_Texas","Cameron County, Texass","http://dbpedia.org/resource/Cameron_County,_Texas"
"Palo Alto Battlefield National Historical Parkk","http://dbpedia.org/resource/Palo_Alto_Battlefield_National_Historical_Park","1.3587e+07","36707","Brownsville, Texas","http://dbpedia.org/resource/Brownsville,_Texas","Cameeron County, Texaas","http://dbpedia.org/resource/Cameron_County,_Texas"
