"oldParty","oldParty__URI","originalIdeology","originalIdeology__URI","newParty","newParty__URI","currentIdeology","currentIdeology__URI","extinctionYear"
"Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","Partito Socialista Italiano","http://dbpedia.org/resource/Italian_Socialist_Party","Social democracy","http://dbpedia.org/resource/Social_democracy","1948"
"Partito Socialista Unitario","http://dbpedia.org/resource/United_Socialist_Party_(Italy,_1922–30)","Social democraccy","http://dbpedia.org/resource/Social_democracy","Partito Socialista Italiano","http://dbpedia.org/resource/Italian_Socialist_Party","Democratic socialismm","http://dbpedia.org/resource/Democratic_socialism","1930"
"Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Liberalism","http://dbpedia.org/resource/Liberalism","Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social liberalism","http://dbpedia.org/resource/Social_liberalism","1926"
"Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Liberalismm","http://dbpedia.org/resource/Liberalism","Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social democracy","http://dbpedia.org/resource/Social_democracy","1926"
"Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Democratico del Lavoro","http://dbpedia.org/resource/Labour_Democratic_Party","Social democracyy","http://dbpedia.org/resource/Social_democracy","1926"
"Associazione Nazionalista Italiana","http://dbpedia.org/resource/Italian_Nationalist_Association","Italian irredentismm","http://dbpedia.org/resource/Italian_irredentism","National Fascist Party","http://dbpedia.org/resource/National_Fascist_Party","Italian Fascism","http://dbpedia.org/resource/Italian_Fascism","1923"
"Associazione Nazionalista Italiana","http://dbpedia.org/resource/Italian_Nationalist_Association","Corporatism","http://dbpedia.org/resource/Corporatism","National Fascist Party","http://dbpedia.org/resource/National_Fascist_Party","Italian Fascismm","http://dbpedia.org/resource/Italian_Fascism","1923"
"Associazione Nazionalista Italiana","http://dbpedia.org/resource/Italian_Nationalist_Association","Italian irredentism","http://dbpedia.org/resource/Italian_irredentism","Partito Nazionale Fascista","http://dbpedia.org/resource/National_Fascist_Party","Italian Fasccism","http://dbpedia.org/resource/Italian_Fascism","1923"
"Associazione Nazionalista Italiana","http://dbpedia.org/resource/Italian_Nationalist_Association","Corporatismm","http://dbpedia.org/resource/Corporatism","Partito Nazionale Fascista","http://dbpedia.org/resource/National_Fascist_Party","Italian Fascismm","http://dbpedia.org/resource/Italian_Fascism","1923"
"Partito Radicale Italiano","http://dbpedia.org/resource/Italian_Radical_Party","RRepublicanism","http://dbpedia.org/resource/Republicanism","Partito Liberale Democratico","http://dbpedia.org/resource/Democratic_Liberal_Party_(Italy)","Progressivismm","http://dbpedia.org/resource/Progressivism","1922"
"Partito Radicale Italiano","http://dbpedia.org/resource/Italian_Radical_Party","Liberalismm","http://dbpedia.org/resource/Liberalism","Partito Liberale Democratico","http://dbpedia.org/resource/Democratic_Liberal_Party_(Italy)","Progressivism","http://dbpedia.org/resource/Progressivism","1922"
"Partito Radicale Italiano","http://dbpedia.org/resource/Italian_Radical_Party","Social liberallism","http://dbpedia.org/resource/Social_liberalism","Partito Liberale Democratico","http://dbpedia.org/resource/Democratic_Liberal_Party_(Italy)","Progressivism","http://dbpedia.org/resource/Progressivism","1922"
"Partito Radicale Italiano","http://dbpedia.org/resource/Italian_Radical_Party","Republicanism","http://dbpedia.org/resource/Republicanism","Partito Liberale Democratico","http://dbpedia.org/resource/Democratic_Liberal_Party_(Italy)","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","1922"
"Partito Radicale Italiano","http://dbpedia.org/resource/Italian_Radical_Party","Liberalismm","http://dbpedia.org/resource/Liberalism","Partito Liberale Democratico","http://dbpedia.org/resource/Democratic_Liberal_Party_(Italy)","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","1922"
"Fasci Italiani di Combattimento","http://dbpedia.org/resource/Fasci_Italiani_di_Combattimento","Republicanism","http://dbpedia.org/resource/Republicanism","National Fascist Party","http://dbpedia.org/resource/National_Fascist_Party","Itallian Fascism","http://dbpedia.org/resource/Italian_Fascism","1921"
"Fasci Italiani di Combattimento","http://dbpedia.org/resource/Fasci_Italiani_di_Combattimento","Republicanism","http://dbpedia.org/resource/Republicanism","Partito Nazionale Fascista","http://dbpedia.org/resource/National_Fascist_Party","Italian Fascism","http://dbpedia.org/resource/Italian_Fascism","1921"
"Partito Costituzionale Democratico","http://dbpedia.org/resource/Constitutional_Democratic_Party_(Italy)","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Liberalism","http://dbpedia.org/resource/Liberalism","1919"
"Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy,_1913)","Sociall liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Liberalism","http://dbpedia.org/resource/Liberalism","1919"
"Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy,_1913)","Social democracyy","http://dbpedia.org/resource/Social_democracy","Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Liberalism","http://dbpedia.org/resource/Liberalism","1919"
"Partito Democratico","http://dbpedia.org/resource/Democratic_Party_(Italy,_1913)","Social democracy","http://dbpedia.org/resource/Social_democracy","Partito Democratico Sociale Italiano","http://dbpedia.org/resource/Italian_Social_Democratic_Party","Social liberallism","http://dbpedia.org/resource/Social_liberalism","1919"
"Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Protectionismm","http://dbpedia.org/resource/Protectionism","Unione Liberale","http://dbpedia.org/resource/Liberal_Union_(Italy)","Liberalism","http://dbpedia.org/resource/Liberalism","1913"
"Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Progressivismm","http://dbpedia.org/resource/Progressivism","Unione Liberale","http://dbpedia.org/resource/Liberal_Union_(Italy)","Liberaliism","http://dbpedia.org/resource/Liberalism","1913"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Protectionism","http://dbpedia.org/resource/Protectionism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Progressivismm","http://dbpedia.org/resource/Progressivism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Progressivism","http://dbpedia.org/resource/Progressivism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Protectionism","http://dbpedia.org/resource/Protectionism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Liberalism","http://dbpedia.org/resource/Liberalism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Progressivismm","http://dbpedia.org/resource/Progressivism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Liberalismm","http://dbpedia.org/resource/Liberalism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Liberalismm","http://dbpedia.org/resource/Liberalism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Progressivism","http://dbpedia.org/resource/Progressivism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Protectionism","http://dbpedia.org/resource/Protectionism","1887"
"La Pentarchia","http://dbpedia.org/resource/Dissident_left-wing","Social liberalismm","http://dbpedia.org/resource/Social_liberalism","Sinistra Storica","http://dbpedia.org/resource/Historical_Left","Protectionism","http://dbpedia.org/resource/Protectionism","1887"
